Core Subjects Percentage,Logical quotient rating,hackathons,coding skills rating,public speaking points,reading and writing skills,status
73.5,5,2,5,4,1,not placed
67.75,3,6,1,2,1,not placed
71.75,7,6,3,6,2,not placed
74.5,1,1,1,4,2,not placed
70.25,2,4,7,7,0,not placed
71.75,2,1,6,1,0,not placed
76.75,6,4,8,4,1,placed
64,2,0,4,3,1,not placed
71.25,3,5,4,9,2,not placed
72.75,8,6,2,8,2,not placed
68.5,1,0,4,5,1,not placed
72.25,9,3,1,6,1,not placed
80.25,8,4,6,4,0,placed
71.25,9,6,3,2,0,not placed
67.75,7,4,3,7,2,not placed
72,8,1,4,2,1,not placed
72,1,6,2,5,1,not placed
76.25,7,4,6,1,1,placed
81,8,4,6,6,1,placed
73.75,3,4,5,2,0,not placed
70.75,1,1,8,3,0,not placed
72,7,0,4,3,0,not placed
82.75,9,5,8,4,0,placed
79.75,9,6,8,5,0,placed
73,4,2,2,9,0,not placed
70.5,9,0,9,9,0,not placed
72,8,4,1,4,2,not placed
77,6,6,6,2,2,placed
74.75,8,2,5,5,2,not placed
71,2,6,6,9,1,not placed
74.5,4,4,4,8,2,not placed
70.5,7,4,1,1,1,not placed
85.25,6,6,8,4,1,placed
73.5,6,0,2,2,1,not placed
71.5,7,3,5,7,0,not placed
73.5,7,0,3,1,2,not placed
74.75,7,2,9,7,2,not placed
81.25,9,6,6,8,0,placed
70.5,6,0,6,8,2,not placed
72.75,4,3,1,9,0,not placed
65.5,9,4,9,6,0,not placed
70,1,0,4,3,2,not placed
74.5,5,3,7,6,1,not placed
73.75,8,2,9,3,2,not placed
71.5,4,5,9,8,1,not placed
67.25,4,1,7,4,0,not placed
72,7,6,7,8,0,not placed
73.25,6,6,6,3,2,not placed
74.75,1,4,2,7,2,not placed
72.75,6,2,3,4,1,not placed
73.5,7,5,6,3,0,not placed
70.75,2,6,3,8,0,not placed
71.25,8,0,2,2,1,not placed
71.25,3,3,3,9,1,not placed
81.75,8,5,9,4,1,placed
79.25,6,6,8,6,2,placed
71,5,3,9,6,1,not placed
74,2,2,4,9,2,not placed
69.75,8,1,1,2,2,not placed
71,9,6,7,5,2,not placed
69.75,7,2,8,4,0,not placed
72.5,7,4,4,5,0,not placed
73.5,3,4,4,5,1,not placed
74.25,7,3,7,4,1,not placed
69.75,7,1,3,7,1,not placed
68.75,9,6,4,2,0,not placed
65.25,9,6,8,4,0,not placed
72,9,0,1,6,0,not placed
68.5,4,6,9,5,0,not placed
72.5,7,3,2,3,2,not placed
84.75,7,5,8,1,1,placed
74.25,8,1,8,5,2,not placed
72,7,3,5,6,0,not placed
72.75,2,6,1,6,0,not placed
72.25,1,5,3,8,0,not placed
82.25,9,5,8,6,1,placed
64.75,1,5,9,9,0,not placed
74.25,9,0,6,1,1,not placed
71.25,8,5,5,6,2,not placed
74,9,5,5,3,2,not placed
66.25,8,3,9,5,1,not placed
73,9,5,5,8,0,not placed
74.25,5,0,8,2,0,not placed
84,8,4,6,5,1,placed
73,8,6,1,2,1,not placed
85,6,5,7,7,2,placed
74.25,6,5,3,7,1,not placed
69.5,7,2,3,4,2,not placed
73,6,1,7,6,2,not placed
75.5,8,4,6,5,1,placed
70.5,4,3,4,8,2,not placed
72.5,3,3,5,8,2,not placed
70.75,7,0,9,8,1,not placed
72.25,8,1,7,6,0,not placed
71.5,4,0,6,7,1,not placed
75.75,9,6,6,6,0,placed
72,8,1,7,9,0,not placed
74.25,4,4,1,5,2,not placed
72,8,3,7,8,1,not placed
73,9,6,3,7,0,not placed
69.25,8,6,9,2,0,not placed
70.5,2,1,9,8,0,not placed
74.75,8,2,1,4,0,not placed
70.25,4,5,1,9,1,not placed
73.5,3,5,2,2,0,not placed
74,2,3,7,5,0,not placed
69.75,5,4,2,7,2,not placed
70,4,4,1,5,1,not placed
69.75,8,6,2,6,2,not placed
71.5,7,4,9,6,2,not placed
73.5,2,2,3,6,1,not placed
74.5,2,6,8,7,2,not placed
65.25,5,0,4,1,1,not placed
69.5,1,3,7,7,1,not placed
73,4,4,6,5,2,not placed
79.75,9,5,9,6,1,placed
64.25,6,2,7,1,0,not placed
67.5,7,4,9,1,0,not placed
69.75,4,0,7,9,0,not placed
71.5,6,5,9,4,0,not placed
70.75,9,0,2,1,2,not placed
70.75,8,3,5,9,0,not placed
74.5,2,5,8,9,0,not placed
74.25,1,5,4,1,1,not placed
70.25,7,3,4,8,2,not placed
74.75,6,0,8,7,1,not placed
82.25,9,5,6,1,0,placed
74.75,8,1,2,2,1,not placed
66.75,3,6,8,5,2,not placed
71.75,9,2,8,7,0,not placed
69.75,7,5,6,8,2,not placed
71.5,8,1,9,5,1,not placed
72.75,1,5,5,8,1,not placed
69.25,2,5,5,9,1,not placed
78.25,7,5,6,2,2,placed
73.75,4,6,6,6,2,not placed
73.75,6,1,9,1,1,not placed
69.75,8,4,6,7,2,not placed
86.5,6,6,9,8,0,placed
73.5,2,3,8,1,0,not placed
73.75,3,2,3,7,2,not placed
73.25,5,2,5,9,1,not placed
73.75,6,2,7,4,0,not placed
68.75,6,6,5,6,2,not placed
66.75,1,2,2,4,0,not placed
71.75,9,0,4,7,1,not placed
71.25,3,4,4,7,2,not placed
74,4,4,8,8,1,not placed
73.75,7,1,9,6,2,not placed
74.75,9,2,5,4,1,not placed
68.75,7,5,7,6,0,not placed
68.25,2,2,8,5,2,not placed
74.5,9,3,7,9,2,not placed
70.5,6,3,6,8,2,not placed
81.5,7,6,9,3,2,placed
73.25,6,5,6,5,1,not placed
71.5,3,2,8,3,0,not placed
74,5,0,4,9,1,not placed
74,7,2,4,7,0,not placed
69.5,5,2,5,7,0,not placed
73.25,2,0,8,7,2,not placed
79.75,6,6,6,6,0,placed
81.5,9,5,9,2,0,placed
68.5,7,5,2,7,2,not placed
73.25,9,5,2,9,1,not placed
71,3,2,1,2,2,not placed
72.75,1,4,5,9,2,not placed
72,2,3,2,9,2,not placed
69.75,5,6,6,8,1,not placed
78.25,8,6,9,7,0,placed
73.5,2,6,1,7,1,not placed
69.5,1,1,8,8,2,not placed
71,2,0,3,7,1,not placed
73.25,8,4,9,2,0,not placed
73.5,2,5,3,8,2,not placed
73,7,4,4,1,0,not placed
69.75,3,5,6,4,2,not placed
72.5,9,6,5,6,2,not placed
72.5,5,1,7,7,0,not placed
74.25,2,6,5,1,2,not placed
86,9,6,7,8,1,placed
68.25,4,3,5,3,2,not placed
71,4,0,1,9,2,not placed
76,9,5,8,7,0,placed
74,8,6,3,3,0,not placed
74.5,6,3,1,7,1,not placed
79.75,7,5,7,9,0,placed
71.5,1,2,8,9,1,not placed
71.5,5,6,4,3,2,not placed
70.25,1,4,9,6,0,not placed
68.75,5,5,2,5,0,not placed
73.75,1,0,6,2,0,not placed
74.5,5,3,8,9,2,not placed
78.5,9,5,6,9,2,placed
73.75,4,4,7,2,1,not placed
73,3,4,5,9,0,not placed
71.75,9,1,4,1,0,not placed
74.25,9,6,4,2,0,not placed
71,5,1,1,6,1,not placed
73,4,6,7,5,1,not placed
74,4,4,1,8,0,not placed
74.5,5,3,4,7,1,not placed
70.5,3,4,8,6,0,not placed
74.25,5,1,3,1,2,not placed
73,7,2,3,3,0,not placed
75.25,6,4,8,6,1,placed
74.75,7,2,6,8,2,not placed
70.75,8,1,6,2,1,not placed
68.5,2,2,2,1,1,not placed
74,5,4,6,7,0,not placed
72.75,3,1,2,3,1,not placed
73.5,2,4,6,8,2,not placed
78.25,6,4,9,2,0,placed
71.75,2,3,5,7,1,not placed
72.25,1,5,3,4,2,not placed
74.5,4,0,1,7,0,not placed
72.25,7,4,2,8,1,not placed
70.25,6,5,8,9,2,not placed
80.75,7,5,9,1,1,placed
73.75,4,2,6,4,2,not placed
74,4,2,2,9,1,not placed
72.25,8,4,4,2,2,not placed
73.5,8,4,4,5,0,not placed
72,9,1,4,2,2,not placed
87.75,6,5,8,3,2,placed
71.5,3,3,7,5,1,not placed
74.75,7,5,7,8,2,not placed
74.25,6,1,9,9,2,not placed
69,2,0,6,7,0,not placed
71.75,2,3,6,6,2,not placed
77.5,6,4,7,8,0,placed
78.25,6,6,7,1,0,placed
78,9,6,8,2,1,placed
72.75,4,4,6,6,1,not placed
72.75,8,6,4,5,1,not placed
73.25,9,6,6,9,0,not placed
70.5,2,4,2,2,2,not placed
74,7,4,1,1,1,not placed
72.5,7,6,5,9,2,not placed
72.75,8,2,8,5,0,not placed
74,3,6,8,1,0,not placed
70.5,2,2,8,3,2,not placed
73.5,1,5,3,8,2,not placed
67.75,7,6,5,6,2,not placed
73,9,0,3,1,1,not placed
80,7,6,8,3,1,placed
73.75,4,2,4,4,0,not placed
69.25,1,5,5,8,1,not placed
87.25,7,6,9,1,1,placed
73.75,9,4,4,6,2,not placed
73.75,4,6,7,1,1,not placed
67.5,5,4,4,8,0,not placed
73.25,9,4,3,2,1,not placed
74.75,4,0,5,3,0,not placed
71.75,4,5,9,1,1,not placed
70.75,7,3,3,3,0,not placed
69.75,5,3,7,8,0,not placed
73.25,5,0,3,2,0,not placed
67,8,6,5,8,0,not placed
71.5,4,6,7,7,2,not placed
70.75,6,3,1,7,0,not placed
74.25,9,1,4,2,0,not placed
70,8,4,2,8,1,not placed
74,5,5,7,1,0,not placed
72.25,5,4,2,4,2,not placed
72.25,6,6,5,3,0,not placed
74.5,5,5,7,6,2,not placed
71,3,0,9,2,1,not placed
73.75,2,3,3,3,2,not placed
76.5,6,5,7,4,0,placed
76.25,6,5,6,5,0,placed
67.5,7,4,7,6,2,not placed
69.5,8,5,1,3,1,not placed
67.25,5,2,1,4,1,not placed
71.5,1,5,4,7,1,not placed
70.75,5,1,3,4,2,not placed
72.75,5,5,9,6,0,not placed
74.25,1,5,5,9,0,not placed
75.75,7,5,9,6,1,placed
75.5,6,5,8,8,2,placed
68.25,6,2,8,4,2,not placed
74.5,8,2,1,4,2,not placed
76,6,4,9,5,0,placed
76,7,4,7,2,0,placed
74.5,2,0,7,3,2,not placed
65.75,2,4,2,1,0,not placed
72.25,4,5,7,6,1,not placed
73.25,3,6,3,3,2,not placed
74.5,8,6,5,2,2,not placed
74.5,9,0,9,2,0,not placed
65.25,8,6,9,7,0,not placed
70.75,8,4,6,4,1,not placed
72.75,8,6,5,1,2,not placed
71.25,6,2,6,6,0,not placed
70.75,6,6,1,5,0,not placed
74.25,5,3,6,8,0,not placed
71.5,4,2,5,8,0,not placed
73,9,6,2,3,2,not placed
75.75,9,5,8,1,1,placed
73.75,7,5,5,7,2,not placed
83,9,6,9,3,0,placed
72.25,2,2,6,7,1,not placed
73.25,7,4,9,8,0,not placed
71.75,5,4,8,6,1,not placed
73.5,3,0,6,6,0,not placed
74,3,5,5,6,2,not placed
70.25,7,3,2,1,1,not placed
68.5,2,3,6,4,2,not placed
74,5,4,1,6,1,not placed
71.25,8,6,3,3,2,not placed
69,1,4,9,7,1,not placed
74,8,5,2,2,2,not placed
72,8,6,9,6,1,not placed
69.75,9,3,3,7,0,not placed
73.75,5,6,3,6,2,not placed
71,3,4,8,4,2,not placed
72.25,6,0,6,5,0,not placed
70,5,6,4,3,0,not placed
64,6,5,4,7,2,not placed
82.25,9,6,6,2,1,placed
72.75,5,0,1,6,0,not placed
69.25,1,3,3,2,0,not placed
72.5,6,2,3,5,0,not placed
83,6,5,9,6,0,placed
71.75,3,3,5,9,0,not placed
74,3,6,7,1,2,not placed
73.25,3,3,8,8,1,not placed
73.25,1,3,8,9,0,not placed
72.25,7,5,6,1,1,not placed
74.5,4,6,4,1,0,not placed
74.75,4,5,3,2,0,not placed
72.5,7,0,8,8,0,not placed
71.75,2,6,3,2,0,not placed
83.25,7,6,9,1,0,placed
70,8,6,7,6,1,not placed
72.25,2,6,4,9,2,not placed
72.25,4,5,2,3,2,not placed
73.25,9,4,3,5,2,not placed
72,6,5,5,7,1,not placed
71.5,9,3,7,7,1,not placed
76.25,9,6,8,9,0,placed
66.5,2,3,4,4,2,not placed
76.5,9,6,6,2,1,placed
74.25,4,5,1,6,1,not placed
73.25,6,5,9,5,0,not placed
74.5,8,6,6,3,0,not placed
69.75,2,2,2,3,2,not placed
83.75,6,6,7,2,0,placed
73,3,0,1,1,2,not placed
73,6,4,5,4,2,not placed
76,9,4,8,5,1,placed
71.75,1,5,8,3,1,not placed
69.5,7,3,8,1,0,not placed
70.5,6,1,3,4,2,not placed
78,8,4,6,1,0,placed
82.75,7,5,9,5,1,placed
78,6,4,6,4,2,placed
71.75,1,3,3,9,1,not placed
65.5,7,6,6,7,1,not placed
70,4,4,8,1,1,not placed
76.75,8,5,9,9,0,placed
73.5,7,1,4,2,1,not placed
66.25,5,3,7,1,2,not placed
72.5,8,6,5,5,0,not placed
70.75,1,2,1,2,1,not placed
82.25,8,6,7,3,0,placed
74.25,8,5,6,7,2,not placed
72.25,9,4,7,2,0,not placed
69.5,6,2,9,8,2,not placed
74,5,2,3,7,1,not placed
74,7,3,4,3,2,not placed
69,3,5,6,9,1,not placed
72.75,6,4,8,2,1,not placed
71.5,7,1,9,6,2,not placed
82,6,6,9,6,1,placed
74,9,0,9,4,0,not placed
82.25,7,4,9,8,2,placed
70,2,3,2,8,2,not placed
74.25,9,2,6,2,1,not placed
71,5,3,8,4,2,not placed
73.25,5,1,2,5,2,not placed
74,4,6,8,4,1,not placed
72,9,4,9,9,2,not placed
72.75,3,5,9,3,0,not placed
72,6,0,2,7,2,not placed
75.5,6,4,6,4,2,placed
73.5,9,5,2,5,1,not placed
73,5,2,5,3,2,not placed
69.75,1,4,2,1,1,not placed
66.5,6,4,8,4,2,not placed
74.25,2,0,4,1,1,not placed
71.5,3,5,8,1,1,not placed
69,6,4,1,7,2,not placed
77.75,6,5,7,4,2,placed
71,8,2,3,7,2,not placed
72.75,7,0,5,6,0,not placed
70.75,3,0,7,7,1,not placed
74.25,3,5,6,6,0,not placed
73.25,1,0,9,4,2,not placed
70.25,9,4,7,1,0,not placed
71.25,4,6,6,4,2,not placed
73.5,3,3,4,9,0,not placed
72.25,7,3,2,1,1,not placed
71.5,1,4,9,3,2,not placed
83.75,6,6,9,4,1,placed
74.25,3,3,7,6,0,not placed
73.75,7,2,1,6,2,not placed
76.25,6,6,9,9,2,placed
72.5,6,2,4,2,2,not placed
71,2,1,4,9,0,not placed
71.25,3,1,3,9,2,not placed
70.5,5,3,6,9,0,not placed
70.75,8,2,3,6,1,not placed
69,3,4,1,1,0,not placed
77,6,6,9,4,2,placed
73.25,3,1,4,3,0,not placed
70.25,3,5,4,7,2,not placed
72.75,7,0,1,1,2,not placed
72.75,2,0,3,8,0,not placed
79.25,8,4,7,7,0,placed
74.25,8,3,2,7,1,not placed
70,1,2,9,2,0,not placed
74.25,3,4,1,5,0,not placed
70.5,1,1,4,7,0,not placed
70.5,2,0,1,6,0,not placed
73,4,0,3,5,2,not placed
71.25,9,1,2,1,0,not placed
74.25,5,6,5,4,0,not placed
68,1,1,6,2,1,not placed
70.75,8,4,2,4,2,not placed
67.75,4,5,2,1,2,not placed
68.5,6,2,6,9,1,not placed
69,4,5,9,5,0,not placed
73.75,1,0,7,4,1,not placed
73,6,6,9,8,0,not placed
68,6,6,5,2,2,not placed
72.75,7,4,5,6,2,not placed
73.5,2,3,1,8,2,not placed
74.25,2,4,5,1,2,not placed
70.5,1,2,3,6,0,not placed
71.75,4,1,2,5,0,not placed
88,8,6,8,7,2,placed
73.75,9,3,7,2,0,not placed
70.75,3,5,5,1,1,not placed
74.75,5,0,7,1,0,not placed
77.75,7,5,7,5,1,placed
87,7,5,7,5,1,placed
74,3,2,1,5,0,not placed
73.75,4,0,5,3,2,not placed
70,8,5,4,2,1,not placed
74.5,1,2,1,5,1,not placed
70.25,7,5,5,5,2,not placed
72.25,2,1,7,5,0,not placed
72.5,6,0,8,1,0,not placed
74,9,3,9,8,0,not placed
68,1,4,3,6,0,not placed
74.75,3,3,2,4,2,not placed
63.5,1,3,9,8,1,not placed
74.5,4,4,1,4,2,not placed
74.25,9,4,1,3,1,not placed
66.5,6,5,6,9,1,not placed
71,8,1,3,4,0,not placed
65.25,6,3,8,6,0,not placed
73.75,7,4,4,5,2,not placed
68.5,4,3,9,3,1,not placed
68.25,2,6,8,5,1,not placed
68.75,4,1,3,8,0,not placed
72,9,5,6,3,2,not placed
72.75,5,0,5,1,2,not placed
72.5,9,1,8,2,0,not placed
72.25,7,2,2,1,1,not placed
66.25,1,4,7,1,0,not placed
73,7,6,6,2,0,not placed
81,6,5,8,4,1,placed
65.25,2,3,9,4,0,not placed
79.5,8,4,6,5,0,placed
70,2,5,7,3,0,not placed
72.75,5,3,1,3,0,not placed
68,7,5,2,8,2,not placed
67,8,1,9,3,1,not placed
69,6,0,3,3,0,not placed
68,6,5,9,4,2,not placed
72.5,9,1,3,7,1,not placed
71.75,7,3,5,2,1,not placed
73.25,7,3,9,3,0,not placed
71.5,8,3,6,4,1,not placed
71.75,6,4,1,5,1,not placed
82,7,4,6,6,0,placed
72.25,9,6,5,7,0,not placed
71.5,9,3,5,9,2,not placed
70.75,6,4,1,5,1,not placed
69.75,8,1,9,3,2,not placed
70,4,5,5,7,1,not placed
71.75,4,5,8,6,1,not placed
70.75,2,2,7,4,2,not placed
70.25,9,5,2,1,2,not placed
80,9,5,7,2,0,placed
68.25,1,1,3,4,0,not placed
70.25,1,3,4,7,2,not placed
74.75,1,1,5,9,1,not placed
73.25,3,6,3,8,0,not placed
68.25,5,5,5,7,0,not placed
71,5,2,8,8,1,not placed
75.25,8,4,9,7,0,placed
74.25,1,5,3,2,1,not placed
77.25,8,4,6,8,2,placed
74,6,0,7,7,0,not placed
70,2,1,4,2,2,not placed
81.5,7,4,6,8,0,placed
72,1,1,1,9,0,not placed
73,6,2,5,1,1,not placed
73,7,6,6,6,2,not placed
73.5,7,2,4,6,0,not placed
78.75,6,4,8,3,1,placed
78.5,9,5,9,4,0,placed
70.25,8,2,8,3,1,not placed
72.75,7,1,1,7,0,not placed
71.75,4,1,9,3,0,not placed
81,8,5,9,7,0,placed
71.5,1,2,6,9,2,not placed
72.25,2,1,9,2,0,not placed
73.5,9,4,7,6,2,not placed
75.25,6,5,6,4,1,placed
68,8,6,9,9,1,not placed
76.25,7,5,8,7,0,placed
74.75,7,0,9,9,2,not placed
74,4,6,1,2,2,not placed
76.75,7,5,9,4,0,placed
69.25,8,1,1,8,1,not placed
76,8,2,6,7,1,placed
75,7,0,9,6,1,placed
73,7,2,7,9,2,placed
79,6,4,6,7,1,placed
82.25,5,6,6,9,1,placed
79,6,7,7,8,2,placed
77.47,4,7,6,8,1,placed
71,9,5,8,9,1,placed
77.57,6,2,7,9,2,placed
80,4,1,5,8,2,placed
77.77,7,2,7,7,1,placed
81,5,4,5,7,1,placed
72,8,3,9,7,0,placed
71.06,9,4,9,8,1,placed
72.4,8,3,8,7,1,placed
71.34,7,4,7,8,1,placed
73.45,9,3,9,9,2,placed
72.14,8,2,8,8,1,placed
74.99,7,5,7,10,2,placed
70.1,10,5,8,7,1,placed
74,3,1,3,9,1,not placed
61,3,0,2,4,1,not placed
62,3,1,3,3,0,not placed
61,2,1,3,5,1,not placed
63,5,0,2,2,0,not placed
64,2,0,2,5,0,not placed
68,3,1,3,4,1,not placed
69,2,0,3,5,0,not placed
70,4,0,2,2,1,not placed
72,2,0,1,3,1,not placed
71,1,1,2,4,0,not placed
69,0,0,1,2,1,not placed
60,1,1,1,2,0,not placed
65,2,0,0,3,1,not placed
77,2,0,1,2,0,not placed
73,4,0,1,4,0,not placed
78,2,0,2,1,0,not placed
74,3,1,1,2,0,not placed
76,2,0,0,2,0,not placed
75,3,0,0,1,0,not placed
72,4,0,5,4,0,not placed
73.25,6,0,9,4,0,not placed
74.5,1,1,9,4,2,not placed
73.75,5,3,5,5,1,not placed
69.5,9,2,6,8,0,not placed
68.5,8,4,3,8,2,not placed
72,1,6,8,7,2,not placed
71,4,6,2,2,2,not placed
74.5,7,4,6,3,1,not placed
69.25,1,5,8,5,0,not placed
74.5,5,4,6,7,1,not placed
74.25,7,2,3,3,1,not placed
76.75,6,5,9,2,1,placed
69.5,7,6,3,7,2,not placed
69.25,2,4,5,1,1,not placed
66.5,2,2,1,9,1,not placed
69.5,9,0,3,5,2,not placed
71,8,6,1,2,1,not placed
76.75,7,5,8,1,0,placed
69.5,8,1,8,6,1,not placed
71.25,3,5,5,4,2,not placed
72.25,4,2,4,1,2,not placed
81,9,4,8,7,2,placed
61,6,2,1,8,2,not placed
74,1,6,8,8,0,not placed
72.5,8,5,8,3,0,not placed
73.5,9,5,3,6,0,not placed
75.75,9,4,7,1,1,placed
80.5,8,5,6,7,0,placed
71.5,8,3,4,9,1,not placed
68.5,8,3,7,3,2,not placed
68.75,6,0,2,3,0,not placed
72.75,9,4,1,1,2,not placed
71.25,2,2,4,4,0,not placed
72.75,1,3,2,4,2,not placed
81.75,6,4,8,9,2,placed
74.75,7,4,3,7,0,not placed
85,6,6,7,7,1,placed
74,5,4,5,6,1,not placed
76.5,7,6,8,1,0,placed
77.25,6,5,7,3,1,placed
70.75,5,6,8,4,2,not placed
84.5,6,4,8,3,0,placed
86,7,4,9,7,2,placed
73.75,1,6,9,8,0,not placed
71.75,7,5,8,3,0,not placed
72.75,5,6,6,6,1,not placed
75.75,6,4,8,6,0,placed
70.25,7,3,8,4,1,not placed
69.25,1,6,5,4,0,not placed
74.5,2,5,4,4,1,not placed
70.75,1,0,3,7,0,not placed
73,6,6,3,2,2,not placed
84.5,6,4,8,4,0,placed
73.75,4,6,1,2,0,not placed
72,8,3,9,7,1,not placed
74.5,6,4,5,7,1,not placed
74.25,7,2,1,4,2,not placed
65,7,0,6,6,1,not placed
74,1,1,2,4,0,not placed
70,1,2,9,5,0,not placed
73.75,7,5,2,5,1,not placed
72.75,9,1,6,2,0,not placed
70.25,3,0,6,4,2,not placed
75.75,6,6,7,8,2,placed
68.25,8,4,3,8,1,not placed
71.5,6,5,9,1,2,not placed
72,7,3,1,3,1,not placed
71.75,3,0,5,3,2,not placed
73.25,3,6,2,3,1,not placed
74.5,3,4,9,7,0,not placed
74.75,8,2,7,3,1,not placed
69,3,6,5,7,2,not placed
69.5,8,6,3,5,1,not placed
77,6,4,6,6,2,placed
71.5,8,2,3,8,2,not placed
85.25,7,4,7,3,1,placed
71,7,1,1,7,2,not placed
73.5,8,5,8,7,0,not placed
70.25,2,6,6,6,0,not placed
76,8,5,6,3,0,placed
78,7,5,6,6,1,placed
73.75,1,0,6,1,0,not placed
72,4,2,5,6,0,not placed
73.25,3,3,3,1,1,not placed
78.75,9,5,7,2,1,placed
74.5,1,3,9,3,1,not placed
69.75,3,6,9,9,2,not placed
69.25,4,0,6,6,1,not placed
72.25,5,6,3,9,2,not placed
73.5,4,0,4,5,1,not placed
73.5,7,5,9,3,1,not placed
80,9,5,9,8,1,placed
86,8,6,6,7,0,placed
72.5,2,3,7,8,1,not placed
73,8,5,9,9,1,not placed
71.25,3,0,4,4,2,not placed
74.25,6,4,9,6,2,not placed
78,9,4,9,9,0,placed
69,3,1,5,4,2,not placed
70.25,4,1,4,3,2,not placed
73.75,2,5,5,8,1,not placed
69.75,4,0,9,3,2,not placed
74.25,2,2,2,1,2,not placed
74.75,5,5,1,5,0,not placed
73.25,5,3,1,8,1,not placed
70.75,7,5,1,1,1,not placed
66.5,8,5,2,8,2,not placed
73.75,4,1,5,5,2,not placed
72,1,6,5,3,1,not placed
71.75,4,2,6,5,0,not placed
68.75,4,2,9,6,1,not placed
71.75,3,0,3,5,2,not placed
72.25,8,2,8,5,2,not placed
72.25,8,2,6,8,1,not placed
70,1,0,5,6,2,not placed
70,9,6,5,4,1,not placed
67.5,9,2,6,9,2,not placed
73,6,5,3,8,0,not placed
70.5,5,1,3,5,0,not placed
71.75,9,0,2,5,1,not placed
69,9,2,4,2,0,not placed
72.75,7,1,5,5,2,not placed
70,4,5,7,3,1,not placed
78.25,6,4,8,8,2,placed
70.5,9,5,3,4,1,not placed
75.5,7,6,7,4,0,placed
73.25,5,3,2,6,0,not placed
71.5,5,4,3,3,1,not placed
73.5,1,1,6,8,2,not placed
73.5,2,3,2,9,1,not placed
69.25,7,4,7,9,2,not placed
74,3,0,5,8,2,not placed
79,9,4,9,4,2,placed
79,8,6,9,7,2,placed
77.75,7,5,8,9,2,placed
73.5,7,1,9,4,2,not placed
73.5,7,1,8,4,0,not placed
74.25,4,0,1,2,1,not placed
74.25,7,3,6,5,1,not placed
80.75,6,4,7,5,2,placed
80.75,7,6,7,2,1,placed
74.25,4,0,3,5,2,not placed
72.75,1,6,1,8,1,not placed
67.75,1,4,7,6,1,not placed
69,6,4,2,7,2,not placed
72.25,6,5,6,8,0,not placed
72.5,4,3,2,1,0,not placed
78.5,8,6,6,9,2,placed
74,7,2,1,7,1,not placed
72,6,4,1,9,2,not placed
77,7,5,6,6,1,placed
69.25,8,2,6,4,1,not placed
69.25,8,5,2,9,0,not placed
80.5,7,4,8,1,1,placed
74.75,8,2,1,8,0,not placed
81,9,6,9,1,1,placed
74.75,7,3,6,7,2,not placed
73.75,8,6,7,6,2,not placed
74.25,5,0,6,5,2,not placed
70.75,2,5,2,6,0,not placed
72,6,4,5,1,2,not placed
70.75,2,1,6,4,2,not placed
72.75,5,5,6,8,1,not placed
73,3,6,8,9,1,not placed
82.5,8,4,8,7,0,placed
73.75,2,1,4,3,0,not placed
73.5,4,0,4,3,2,not placed
73.5,6,4,5,4,1,not placed
74.75,4,3,2,9,0,not placed
69,8,0,4,4,1,not placed
67.5,4,1,3,6,2,not placed
71.75,7,4,2,8,0,not placed
77.5,6,5,7,3,0,placed
70.75,1,5,9,8,1,not placed
74.25,5,1,8,8,2,not placed
